carb3_activity,process_set_id,set_name,is_default,process_id,process_name,is_optional,equipment_examples,provenance
Mineral Production - Brine,default,Solution mining brinefield with vacuum salt works,TRUE,brine_purification,Brine purification,FALSE,chemical dosing; clarifiers,[SALT_ASSOC] Calcium/magnesium impurity removal precedes evaporation.
Mineral Production - Brine,default,Solution mining brinefield with vacuum salt works,TRUE,vacuum_evaporation,Multiple-effect vacuum evaporation,FALSE,multi-effect evaporator vessels; steam boilers/CHP; vacuum pumps,[SALT_ASSOC] Brine boiled in cascaded steam-heated vessels under progressively lower pressure - the core energy-consuming step.
Mineral Production - Brine,default,Solution mining brinefield with vacuum salt works,TRUE,centrifuging,Centrifuging,FALSE,pusher centrifuges,[SALT_ASSOC] Slurry from the final effect is spun to remove moisture.
Mineral Production - Brine,default,Solution mining brinefield with vacuum salt works,TRUE,drying_grading,"Drying, sieving and grading",FALSE,fluid-bed drier-coolers; sieves,[SALT_ASSOC] Fluid-bed drier-coolers then sieving/grading for food-grade salt.
Mineral Production - Brine,default,Solution mining brinefield with vacuum salt works,TRUE,site_services,Site services and storage,FALSE,storage hoppers; conveyors; offices,[SALT_ASSOC] Dried salt transferred to large storage hoppers.
Mineral Production - Coal,default,Coal mine with preparation plant,TRUE,coal_preparation,Coal preparation/beneficiation (crushing-washing-grinding circuit),FALSE,wash plant; dense-medium cyclones; mills,"[DOE_BAND] Grinding is the largest coal-mining energy category in Exhibit 20 (194.8 of 485.3 TBtu/yr, p.27)."
Mineral Production - Coal,default,Coal mine with preparation plant,TRUE,ventilation,Mine ventilation,TRUE,main surface fans; booster fans,[DOE_BAND] Ventilation 97.3 TBtu/yr in Exhibit 20 (p.27); applies to underground workings only.
Mineral Production - Coal,default,Coal mine with preparation plant,TRUE,materials_handling_conveyors,"Materials handling - electric (conveyors, stackers)",FALSE,trunk conveyors; stacker-reclaimers,[DOE_BAND] Materials handling-electric 45.3 TBtu/yr in Exhibit 20 (p.27).
Mineral Production - Coal,default,Coal mine with preparation plant,TRUE,crushing,Primary crushing/sizing,FALSE,rotary breakers; sizers,[DOE_BAND] Crushing 14.6 TBtu/yr in Exhibit 20 (p.27).
Mineral Production - Coal,default,Coal mine with preparation plant,TRUE,haulage_mobile_plant,Haulage and mobile plant (diesel),FALSE,haul trucks; dozers; graders,"[DOE_BAND] Materials handling-diesel 56.7 TBtu/yr (Exhibit 20, p.27); coal materials handling is 80% diesel / 20% electric (Section 3.2, pp.10-11)."
Mineral Production - Coal,default,Coal mine with preparation plant,TRUE,digging_loading,Digging/loading,FALSE,excavators; shovels; continuous miners,[DOE_BAND] Digging 26.4 TBtu/yr in Exhibit 20 (p.27).
Mineral Production - Coal,default,Coal mine with preparation plant,TRUE,drilling,Drilling,TRUE,overburden drill rigs,[DOE_BAND] Drilling 27.7 TBtu/yr in Exhibit 20 (p.27).
Mineral Production - Gas,default,Gas processing terminal / production site,TRUE,gas_compression,Gas compression (feed/export/sales),FALSE,gas-turbine-driven centrifugal compressors; electric compressors,"[NSTA_EMR] Compression is the defining duty of gas processing; fuel combustion for power/drive dominates upstream emissions (79% power generation, Fig.3 p.8)."
Mineral Production - Gas,default,Gas processing terminal / production site,TRUE,power_generation,On-site power generation,TRUE,gas turbines; gas engines,"[NSTA_EMR] Power generation is the largest single combustion category in UK upstream oil & gas (79% of 2023 offshore emissions, Fig.3 p.8; terminals are 17% of industry total, p.6)."
Mineral Production - Gas,default,Gas processing terminal / production site,TRUE,process_heating_regeneration,Process heating and solvent regeneration,FALSE,glycol/amine reboilers; fired heaters,Dehydration (glycol) and sweetening (amine) regeneration reboilers are standard gas-terminal thermal duties.
Mineral Production - Gas,default,Gas processing terminal / production site,TRUE,site_services,Site services,FALSE,control rooms; buildings; lighting,Standard ancillary load.
Mineral Production - Inert,default,Inert C&D waste recycling site,TRUE,materials_handling_loaders,Feedstock and product handling by loader,FALSE,wheel loaders; 360 excavators with sorting grabs,[MDPI_RA] Section 3.1/Figure 5: wheel-loader operations are the largest on-site diesel component of recycled-aggregate production.
Mineral Production - Inert,default,Inert C&D waste recycling site,TRUE,internal_haulage,Internal movement of waste and product,FALSE,dump trucks; tractor units,[MDPI_RA] Section 3.1: internal CDW movement and RA transport to storage are distinct diesel line items.
Mineral Production - Inert,default,Inert C&D waste recycling site,TRUE,crushing,Crushing (fixed electric plant),TRUE,jaw/impact crushers,[MDPI_RA] Plant electricity (1.23 kWh/t RA) covers the fixed crushing line; many UK sites instead run diesel-hydraulic mobile crushers (see notes).
Mineral Production - Inert,default,Inert C&D waste recycling site,TRUE,screening,Screening and separation,FALSE,scalping screens; picking stations; overband magnets,[MDPI_RA] Standard stage of recycled aggregate production covered by the facility-wide electricity figure.
Mineral Production - Inert,default,Inert C&D waste recycling site,TRUE,mobile_crushing_screening,Mobile diesel crushing/screening,TRUE,tracked mobile crushers; tracked screens,"Common UK configuration (diesel-hydraulic tracked plant); no located source splits its diesel from loaders, so it carries no share row - where present it displaces the electricity rows."
Mineral Production - Inert,default,Inert C&D waste recycling site,TRUE,site_services,Site services,FALSE,weighbridge; offices; wheel wash,[MDPI_RA] Study's electricity figure explicitly includes administrative operations (Section 2.1.2).
Mineral Production - Oil,default,Onshore oil production site,TRUE,artificial_lift,Artificial lift,FALSE,beam pumps (nodding donkeys); electric submersible pumps,Universal continuous load at mature onshore wells; UK onshore fields (e.g. Wytch Farm type operations) rely on pumped lift.
Mineral Production - Oil,default,Onshore oil production site,TRUE,water_injection,Produced-water reinjection / pressure support,TRUE,high-pressure injection pumps,Large continuous pumping load where waterflood/produced-water disposal operates.
Mineral Production - Oil,default,Onshore oil production site,TRUE,processing_separation_export,"Oil processing, separation and export pumping",FALSE,separators; crude heaters; export pumps,"[NSTA_EMR] Initial processing at production facilities is a recognised energy consumer (EMR 2024, p.6 describes facilities which 'extract and initially process oil and gas')."
Mineral Production - Oil,default,Onshore oil production site,TRUE,site_services,Site services,FALSE,control rooms; lighting; instrument air,Standard ancillary load at staffed production sites.
Mineral Production - Other Mineral Category,default,Generic mineral extraction and processing site (borrowed from aggregates),TRUE,drilling,Drilling,TRUE,drill rigs,"[DOE_BAND] Drilling is a distinct unit operation in the industrial-minerals breakdown (Exhibit 22, p.29)."
Mineral Production - Other Mineral Category,default,Generic mineral extraction and processing site (borrowed from aggregates),TRUE,extraction_loading,Extraction and loading,FALSE,excavators; shovels,[DOE_BAND] Digging is a distinct unit operation in Exhibit 22 (30.1 TBtu/yr).
Mineral Production - Other Mineral Category,default,Generic mineral extraction and processing site (borrowed from aggregates),TRUE,haulage,On-site haulage,FALSE,dump trucks; loaders,"[DOE_BAND] Materials handling-diesel 33.7 TBtu/yr in Exhibit 22; industrial-minerals materials handling is 99.5% diesel (Section 3.2, pp.10-11)."
Mineral Production - Other Mineral Category,default,Generic mineral extraction and processing site (borrowed from aggregates),TRUE,crushing,Crushing/milling,FALSE,crushers; mills,[DOE_STONE] Borrowed from aggregates sibling processing circuit.
Mineral Production - Other Mineral Category,default,Generic mineral extraction and processing site (borrowed from aggregates),TRUE,screening,Screening/classification,FALSE,screens; classifiers,[DOE_STONE] Borrowed from aggregates sibling.
Mineral Production - Other Mineral Category,default,Generic mineral extraction and processing site (borrowed from aggregates),TRUE,conveying,Conveying,FALSE,belt conveyors,[DOE_STONE] Borrowed from aggregates sibling.
Mineral Production - Other Mineral Category,default,Generic mineral extraction and processing site (borrowed from aggregates),TRUE,dewatering_pumping,Dewatering,TRUE,sump pumps,"[DOE_BAND] Dewatering 24.6 TBtu/yr is a material category for industrial minerals (Exhibit 22, p.29)."
Mineral Production - Other Mineral Category,default,Generic mineral extraction and processing site (borrowed from aggregates),TRUE,site_services,Site services,FALSE,offices; workshops,[DOE_BAND] Ancillary operations 34.5 TBtu/yr in Exhibit 22.
Mineral Production - Putrescible,default,Organics treatment site (composting and/or anaerobic digestion),TRUE,reception_depackaging_shredding,"Reception, depackaging and shredding",FALSE,depackagers; slow-speed shredders; hammer mills,"[IEA_FW] Pre-treatment is part of the parasitic demand of the Biocycle/Valorsul food-waste digesters (Section 3.2, pp.19-21); grinding/shredding is also the major fuel user in windrow composting (HAAREN)."
Mineral Production - Putrescible,default,Organics treatment site (composting and/or anaerobic digestion),TRUE,digester_mixing_pumping,"Digester mixing, feed and digestate pumping",TRUE,digester mixers; progressive-cavity feed pumps,"[IEA_FW] Core continuous electrical loads of an AD plant within the 59.1 kWh/t parasitic demand (Table 5, p.20). Optional: absent at composting-only sites."
Mineral Production - Putrescible,default,Organics treatment site (composting and/or anaerobic digestion),TRUE,pasteurisation_digester_heating,Pasteurisation and digester heating,TRUE,pasteurisers; heat exchangers; biogas boiler,"[IEA_FW] 113.4 kWh/t heat demand at Biocycle (Table 5, p.20); normally met by CHP/biogas heat rather than a metered vector, so no share row."
Mineral Production - Putrescible,default,Organics treatment site (composting and/or anaerobic digestion),TRUE,digestate_processing,Digestate dewatering/processing,TRUE,screw presses; centrifuges,[IEA_FW] Included within plant parasitic electricity at the studied plants (Section 3.2).
Mineral Production - Putrescible,default,Organics treatment site (composting and/or anaerobic digestion),TRUE,aeration_odour_control,Forced aeration and odour control,TRUE,ASP/IVC aeration fans; biofilter fans,[HAAREN] Aerated static pile air blowing & monitoring quantified at 0.75 kWh/ton (p.17); biofilters listed as site equipment.
Mineral Production - Putrescible,default,Organics treatment site (composting and/or anaerobic digestion),TRUE,windrow_turning,Windrow turning,TRUE,windrow turners,[HAAREN] Core fuel-consuming operation of windrow composting (p.15).
Mineral Production - Putrescible,default,Organics treatment site (composting and/or anaerobic digestion),TRUE,screening_refining,Product screening/refining,FALSE,trommel screens; star screens,[HAAREN] Screens listed among rolling stock/fuel consumers (p.17).
Mineral Production - Putrescible,default,Organics treatment site (composting and/or anaerobic digestion),TRUE,mobile_plant,Mobile plant (loaders/telehandlers),FALSE,wheel loaders; telehandlers,[HAAREN] Rolling stock is a named fuel consumer at composting facilities (p.17).
Mineral Production - Putrescible,default,Organics treatment site (composting and/or anaerobic digestion),TRUE,site_services,Site services,FALSE,offices; weighbridge; leachate pumps,Standard ancillary load at permitted organics sites.
"Mineral Production - Rock, Sand, Clay etc.",default,Quarry with on-site processing plant,TRUE,drilling,Blasthole drilling,TRUE,percussion/rotary drill rigs,[DOE_STONE] Table 9-2 (p.9-8) lists percussion drilling as a core mining unit operation for crushed rock; optional because sand & gravel sites do not drill/blast.
"Mineral Production - Rock, Sand, Clay etc.",default,Quarry with on-site processing plant,TRUE,extraction_loading,Extraction and loading,FALSE,hydraulic excavators; face shovels; draglines,[DOE_STONE] Table 9-2 lists hydraulic shovel extraction/loading as a core mining unit operation.
"Mineral Production - Rock, Sand, Clay etc.",default,Quarry with on-site processing plant,TRUE,haulage,On-site haulage,FALSE,rigid/articulated dump trucks; wheel loaders; dozers,[DOE_STONE] p.9-8: transportation vehicles consume an estimated 50% of total mining energy per ton; NSSGA_GHG (p.7-8) confirms mobile-equipment fuel is the dominant energy/GHG source at aggregates operations.
"Mineral Production - Rock, Sand, Clay etc.",default,Quarry with on-site processing plant,TRUE,crushing,Primary/secondary/tertiary crushing,FALSE,jaw crusher; cone crusher; impact crusher,[DOE_STONE] Table 9-3 (p.9-9) lists secondary and tertiary crushing as electric processing operations.
"Mineral Production - Rock, Sand, Clay etc.",default,Quarry with on-site processing plant,TRUE,screening,Screening and grading,FALSE,vibrating screens; grizzlies,[DOE_STONE] Table 9-3 lists screening as an electric processing operation.
"Mineral Production - Rock, Sand, Clay etc.",default,Quarry with on-site processing plant,TRUE,conveying,Conveying and stockpiling,FALSE,belt conveyors; stackers,[DOE_STONE] Table 9-3 lists conveying as an electric processing operation.
"Mineral Production - Rock, Sand, Clay etc.",default,Quarry with on-site processing plant,TRUE,washing_classification,"Washing, classification and water circuit",TRUE,log washers; sand classifiers; water pumps,"[IERC_QUARRY] IERC guidance notes quarry electricity intensity (5-25 kWh/t) 'depending on crushing, screening, and washing requirements'; typical at sand & gravel sites, absent from the DOE limestone tables so no published share."
"Mineral Production - Rock, Sand, Clay etc.",default,Quarry with on-site processing plant,TRUE,dewatering_pumping,Pit dewatering pumping,TRUE,submersible/centrifugal sump pumps,"[DOE_BAND] Dewatering appears as a distinct unit operation in the DOE bandwidth study industrial-minerals breakdown (Exhibit 22, p.29)."
"Mineral Production - Rock, Sand, Clay etc.",default,Quarry with on-site processing plant,TRUE,site_services,Site services,FALSE,workshops; offices; weighbridge; lighting,"[DOE_BAND] 'Ancillary operations' is a distinct category in the DOE bandwidth study (Exhibit 17, p.21; Exhibit 22, p.29)."
Motor Vehicle Works,default,Automotive assembly plant,TRUE,paint_shop,"Paint shop (booth air handling fans, ovens, e-coat)",FALSE,paint booth supply/exhaust fans; e-coat tanks; curing/stoving ovens; abatement (RTO),[LBNL50939] LBNL-50939 Table 2 (p.7): paint systems (fans) are 27-50% of assembly plant electricity — the largest single end use; ENERGY STAR Industry Insights gives paint booths 30-50%.
Motor Vehicle Works,default,Automotive assembly plant,TRUE,welding,Body shop welding,FALSE,spot welding robots; weld guns; weld controllers,[LBNL50939] Table 2: welding 9-11% of electricity.
Motor Vehicle Works,default,Automotive assembly plant,TRUE,compressed_air,Compressed air,FALSE,centrifugal/screw compressors; pneumatic tools,[LBNL50939] Table 2: compressed air 9-14% of electricity.
Motor Vehicle Works,default,Automotive assembly plant,TRUE,materials_handling,Materials handling and tools,FALSE,conveyors; AGVs; hoists; assembly tools,[LBNL50939] Table 2: materials handling/tools 7-8% of electricity.
Motor Vehicle Works,default,Automotive assembly plant,TRUE,metal_forming,Metal forming / stamping,TRUE,stamping presses; blanking lines,[LBNL50939] Table 2: metal forming 2-9% of electricity; only where the plant has an on-site press shop.
Motor Vehicle Works,default,Automotive assembly plant,TRUE,steam_hot_water,Boiler steam / hot water generation,TRUE,steam boilers; hot water plant,[LBNL50939] LBNL p.6: fuels are used to generate hot water and steam; MECS NAICS 336 reports 20 TBtu indirect boiler gas.
Motor Vehicle Works,default,Automotive assembly plant,TRUE,site_services,"Site services (HVAC, lighting, offices)",FALSE,AHUs; plant lighting; offices,[LBNL50939] Table 2: HVAC 11-20% and lighting 15-16% of electricity.
Motor Vehicle Works,default,Automotive assembly plant,TRUE,space_heating,Space heating (incl. make-up air heating),FALSE,gas-fired make-up air units; space heating boilers,[MECS2022_T52] Facility HVAC gas is joint-largest gas end use in MECS NAICS 336 transportation equipment.
Newspaper print works,default,Coldset web offset newspaper plant,TRUE,prepress_platemaking,Prepress and platemaking,FALSE,CTP platesetters; plate processors; proofing,[PRINTCITY] Standard front-end of a web offset plant; small share of production energy.
Newspaper print works,default,Coldset web offset newspaper plant,TRUE,press_drives,Press main drives and web transport,FALSE,shaftless press drive motors; reelstands/splicers; folders,[PRINTCITY] PrintCity p4: machine drives are 25-40% of a web offset plant's production energy.
Newspaper print works,default,Coldset web offset newspaper plant,TRUE,press_auxiliaries,"Press auxiliaries (compressed air, cooling, dampening)",FALSE,air compressors; chilled water sets; dampening refrigeration units,[PRINTCITY] PrintCity p4: compressed air ~5%; process cooling identified as a significant press-level end use (p8).
Newspaper print works,default,Coldset web offset newspaper plant,TRUE,mailroom_finishing,Mailroom and finishing,FALSE,conveyors; inserters; stackers/strappers,"Newspaper-specific downstream line; engineering inclusion, no published share found."
Newspaper print works,default,Coldset web offset newspaper plant,TRUE,site_services,Site services,FALSE,lighting; space heating; HVAC; offices,"[PRINTCITY] PrintCity p4: building/services are 20-30% of plant energy; lighting <10%, building heating and cooling <10%."
"Oil refinery, gas processing etc",default,Complex fuels refinery,TRUE,crude_vacuum_distillation,Crude and vacuum distillation,FALSE,CDU fired heaters; VDU fired heaters; preheat trains,[ESREF2015] Table 3 p23: CDU ~20.1% and VDU ~8.5% of 2011 US refinery primary energy.
"Oil refinery, gas processing etc",default,Complex fuels refinery,TRUE,hydrotreating,Hydrotreating/hydroprocessing,FALSE,hydrotreater charge heaters; recycle H2 compressors,"[ESREF2015] Table 3 p23: hydrotreating ~28.7%, the largest single consumer."
"Oil refinery, gas processing etc",default,Complex fuels refinery,TRUE,catalytic_reforming,Catalytic reforming,FALSE,reformer interheaters; recycle compressors,[ESREF2015] Table 3 p23: ~9.8%.
"Oil refinery, gas processing etc",default,Complex fuels refinery,TRUE,hydrogen_production,Hydrogen production (SMR),FALSE,steam methane reformers; PSA units,[ESREF2015] Table 3 p23: ~6.7%; natural gas is used for hydrogen production (Fig 9 p21 context).
"Oil refinery, gas processing etc",default,Complex fuels refinery,TRUE,hydrocracking,Hydrocracking,TRUE,hydrocracker heaters; makeup/recycle compressors,[ESREF2015] Table 3 p23: ~5.3%; not present at all sites.
"Oil refinery, gas processing etc",default,Complex fuels refinery,TRUE,fcc,Fluid catalytic cracking,TRUE,FCC regenerator (catalyst coke burn); main air blower; wet gas compressor,[ESREF2015] Table 3 p23: ~5.1%; heat is supplied largely by burning catalyst coke internally.
"Oil refinery, gas processing etc",default,Complex fuels refinery,TRUE,alkylation,Alkylation,TRUE,refrigeration compressors; isostrippers,[ESREF2015] Table 3 p23: ~5.6%.
"Oil refinery, gas processing etc",default,Complex fuels refinery,TRUE,other_units,Other process units,FALSE,isomerisation; aromatics; coking; asphalt/bitumen,[ESREF2015] Residual ~10% of Table 3 energy balance.
"Oil refinery, gas processing etc",default,Complex fuels refinery,TRUE,utilities_steam,"Utilities (steam boilers/cogen, cooling water, air)",FALSE,steam boilers/CHP; cooling water pumps; instrument air compressors; water treatment,[ESREF2015] Steam and utility systems treated as major cross-cutting energy systems throughout the guide (document level).
"Oil refinery, gas processing etc",default,Complex fuels refinery,TRUE,site_services,Site services,FALSE,lighting; control rooms; offices/labs,Small but non-zero electrical load at any refinery.
Paper Mill,default,Recycled-fibre paper mill (GB stock),TRUE,stock_preparation,Stock preparation and refining,FALSE,hydrapulper; screens and cleaners; deinking flotation cells; disc refiners,[UKPP2015] UK roadmap s3.2.1: majority of UK pulp is paper for recycling; stock prep named (with paper machine drives and vacuum) among the biggest electrical loads (s3.3.3).
Paper Mill,default,Recycled-fibre paper mill (GB stock),TRUE,paper_machine_wet_end,Paper machine forming and pressing (incl. vacuum),FALSE,headbox and wire section drives; press section; vacuum pumps and blowers,"[UKPP2015] Roadmap s3.3.3: paper machine, vacuum system and stock preparation take the biggest proportion of electrical power."
Paper Mill,default,Recycled-fibre paper mill (GB stock),TRUE,paper_machine_drying,Paper machine dryer section,FALSE,steam-heated drying cylinders; dryer hood and exhaust fans; steam and condensate system,"[UKPP2015] Roadmap s3.3.3: paper machine uses about two-thirds of all site energy, dominated by the dryer section; LBNL guide: drying is ~2/3 of papermaking energy."
Paper Mill,default,Recycled-fibre paper mill (GB stock),TRUE,effluent_water_services,Water circuits and effluent treatment,FALSE,process water pumps; clarifiers/DAF; effluent aeration blowers,"[LBNLPP2009] LBNL guide: pumps, fans and materials-processing equipment take >70% of motor electricity; water/effluent circuits are a standing pumping load at recycled-fibre mills."
Paper Mill,default,Recycled-fibre paper mill (GB stock),TRUE,site_services,Site services,FALSE,compressed air; lighting; space heating; offices,Standard ancillary loads at any large manufacturing site.
Post Office Sorting Centre,default,Mail/parcel sortation hub,TRUE,sortation_machinery,Sortation machinery and conveyors,FALSE,automated letter/parcel sorters; cross-belt sorters; conveyors; OCR/scanning tunnels,[CTV073] Engineering: sorting centres are warehouses plus a major automated sortation load not present in the ambient warehouses CTV073 describes; Royal Mail mail centres are highly automated.
Post Office Sorting Centre,default,Mail/parcel sortation hub,TRUE,materials_handling,"Materials handling (forklift/tug charging, dock equipment)",FALSE,forklift battery chargers; powered pallet trucks; dock levellers,[CTV073] CTV073 p.9: forklifts are 7-10% of non-road energy costs in warehousing.
Post Office Sorting Centre,default,Mail/parcel sortation hub,TRUE,site_services,"Site services (lighting, offices/ICT, ventilation)",FALSE,high-bay lighting; 24h office/ICT; HVAC fans,[CTV073] CTV073 p.5: lighting accounts for 65-95% of energy use in ambient warehousing; sorting centres run extended hours.
Post Office Sorting Centre,default,Mail/parcel sortation hub,TRUE,space_heating,Space heating,FALSE,gas warm-air heaters; radiant heating over sort floors,[CTV073] CTV073 identifies heating as one of the main energy uses in warehousing; large door-opening losses at dock doors.
Post Office Sorting Centre,default,Mail/parcel sortation hub,TRUE,water_heating,Hot water (welfare),TRUE,water heaters; canteen,Engineering: large shift-working workforce implies welfare hot water/canteen load.
Pottery,default,Whiteware/tableware pottery (multi-stage firing),TRUE,raw_material_preparation,Body and slip preparation,FALSE,blungers; ball mills; sieves/magnets; filter presses; pug mills,"[DECC_CERAMIC_2015] Raw material preparation stage (Section 3.2.1): mixing, homogenisation, particle size reduction."
Pottery,default,Whiteware/tableware pottery (multi-stage firing),TRUE,forming,"Forming (casting, jiggering, pressing)",FALSE,jigger/jolley machines; pressure casting benches; isostatic presses,"[DECC_CERAMIC_2015] Forming stage (Section 3.2.2): jiggering, casting and pressing named."
Pottery,default,Whiteware/tableware pottery (multi-stage firing),TRUE,drying,Drying of ware and moulds,FALSE,convection dryers; mould drying rooms,[DECC_CERAMIC_2015] Drying stage (Section 3.2.3).
Pottery,default,Whiteware/tableware pottery (multi-stage firing),TRUE,biscuit_firing,Biscuit (first) firing,FALSE,tunnel kiln; intermittent (shuttle) kilns,"[DECC_CERAMIC_2015] Whitewares involve 'multiple firing steps, greater use of less-efficient batch firing' (Section 3.3.1)."
Pottery,default,Whiteware/tableware pottery (multi-stage firing),TRUE,glazing_decoration,Glazing and decoration application,FALSE,glaze spray booths; dipping lines; decal/print application,[DECC_CERAMIC_2015] Finishing stage incl. coating/glazing (Section 3.2.5).
Pottery,default,Whiteware/tableware pottery (multi-stage firing),TRUE,glost_decoration_firing,Glost and decoration firing,FALSE,glost tunnel/shuttle kilns; decorating kilns,[DECC_CERAMIC_2015] Second/subsequent firing steps characteristic of whitewares (Section 3.3.1).
Pottery,default,Whiteware/tableware pottery (multi-stage firing),TRUE,site_services,Site services,FALSE,compressed air (spraying); lighting; space heating fans; offices,Compressed air for glaze spraying and general services are material loads at pottery factories.
Provender Mill,default,Compound animal feed mill,TRUE,grinding,Raw material grinding (hammer/roller mills),FALSE,hammer mills; roller mills,[FEEDGRAIN_EQ] Milling = 26% of feed mill electricity
Provender Mill,default,Compound animal feed mill,TRUE,mixing_batching,Batching & mixing,FALSE,batch weighers; mixers,[FEEDGRAIN_EQ] Mixing = 9% of feed mill electricity
Provender Mill,default,Compound animal feed mill,TRUE,pelleting_press,Pelleting (press and cooler),FALSE,pellet press; counterflow cooler fans,[FEEDGRAIN_EQ] Pelleting = 40% of feed mill electricity; 10-24 kWh/t by species (FEEDADD)
Provender Mill,default,Compound animal feed mill,TRUE,steam_conditioning,Steam conditioning of meal (boiler),FALSE,steam boiler; conditioner,[FEEDADD] Pelleting/conditioning consumes 80-90% of steam used in the facility
Provender Mill,default,Compound animal feed mill,TRUE,material_handling,Material handling & conveying,FALSE,elevators; conveyors; pneumatic lines,[FEEDGRAIN_EQ] Material handling = 6% of electricity
Provender Mill,default,Compound animal feed mill,TRUE,compressed_air,Compressed air,FALSE,air compressors,[FEEDADD] Air compressor ≈5% of total plant consumption at a 50 t/h mill
Provender Mill,default,Compound animal feed mill,TRUE,site_services,Site services & other,FALSE,lighting; offices; intake dust control,[FEEDGRAIN_EQ] 'Other' = 19% in the published split (less the compressed-air carve-out)
Pumping Mines,default,Mine dewatering/pumping station,TRUE,dewatering_pumping,Minewater dewatering pumping,FALSE,borehole/shaft submersible pumps; surface transfer pumps,"[COAL_AUTH] Coal Authority 2023-24: purchased electricity of 30,482,157 kWh driven by mine water pumping ('pumped 17% more mine water at our operational sites'); pumping is the function of these sites."
Pumping Mines,default,Mine dewatering/pumping station,TRUE,ventilation,Shaft/mine ventilation,TRUE,ventilation fans,"[DOE_BAND] Ventilation is a distinct mine unit operation (Exhibit 17, p.21); only present where open workings/shafts must be ventilated for access or gas control."
Pumping Mines,default,Mine dewatering/pumping station,TRUE,site_services,Site services,FALSE,controls/telemetry; lighting; small buildings,Minor ancillary load at largely unmanned pumping stations.
Scrap Metal/Breakers Yard,default,Scrap metal processing/breakers yard,TRUE,material_handling,Material handling and sorting,FALSE,diesel material handlers; grab cranes; lifting magnets; loading shovels,[BMRA2023] Document level: BMRA describes handling and processing as the core yard operations; handlers are predominantly diesel plant.
Scrap Metal/Breakers Yard,default,Scrap metal processing/breakers yard,TRUE,shredding_separation,Shredding and downstream separation,TRUE,hammer-mill shredder; eddy-current and magnetic separators; air classification,[BMRA2023] BMRA article on shredding efficiencies notes electricity consumption of shredders is the significant controllable energy cost; optional as only larger yards shred.
Scrap Metal/Breakers Yard,default,Scrap metal processing/breakers yard,TRUE,shearing_baling,Shearing and baling,FALSE,hydraulic guillotine shears; balers,Standard scrap densification equipment (static electric or mobile diesel-hydraulic).
Scrap Metal/Breakers Yard,default,Scrap metal processing/breakers yard,TRUE,torch_cutting,Oxy-fuel torch cutting/breaking,FALSE,oxy-propane cutting torches,Standard method for breaking heavy/oversize scrap; consumes LPG/propane and oxygen.
Scrap Metal/Breakers Yard,default,Scrap metal processing/breakers yard,TRUE,site_services,"Site services (weighbridge, offices, lighting, space heating)",FALSE,weighbridge; yard lighting; office heating,Cross-cutting services at all yards.
"Shipbuilding/ repair, boatyard",default,Shipyard / ship repair yard,TRUE,steel_prep_cutting,"Steel preparation, cutting and forming",FALSE,plasma/oxy-fuel cutting tables; plate rolls; gas-fired plate/forge heating,"[EPA_SHIP] EPA sector energy profile names forging/heating among the most energy-intensive shipyard operations, often gas-fired."
"Shipbuilding/ repair, boatyard",default,Shipyard / ship repair yard,TRUE,welding_fabrication,Welding and fabrication,FALSE,arc welding sets; panel lines,[EPA_SHIP] Welding (primarily electric arc) listed first among the sector's energy-intensive processes.
"Shipbuilding/ repair, boatyard",default,Shipyard / ship repair yard,TRUE,machining_outfitting,Machining and outfitting shops,FALSE,machine tools; pipe shops,Standard shipyard workshops supporting hull and outfit work.
"Shipbuilding/ repair, boatyard",default,Shipyard / ship repair yard,TRUE,surface_prep_blasting,Surface preparation / abrasive blasting,FALSE,grit-blasting equipment; blast halls,[EPA_SHIP] Abrasive blasting listed among the four most energy-intensive shipyard operations.
"Shipbuilding/ repair, boatyard",default,Shipyard / ship repair yard,TRUE,painting_coating,Painting and coating,FALSE,paint cells; ventilation/extraction; curing heaters,[EPA_SHIP] Marine coatings application listed among the main energy-consuming operations.
"Shipbuilding/ repair, boatyard",default,Shipyard / ship repair yard,TRUE,cranes_material_handling,Cranes and material handling,FALSE,goliath/dockside cranes; transporters,Heavy block movement is intrinsic to ship construction and repair.
"Shipbuilding/ repair, boatyard",default,Shipyard / ship repair yard,TRUE,dry_dock_services,Dry dock and berth services,TRUE,dock dewatering pumps; shore power supplies to vessels,Repair yards operate dock pumping and supply shore power to vessels under repair; optional for small boatyards.
"Shipbuilding/ repair, boatyard",default,Shipyard / ship repair yard,TRUE,site_services,"Site services (compressed air, lighting, space heating, offices)",FALSE,central air compressors; shed heating; lighting,Compressed air serves blasting and pneumatic tools; large sheds carry heavy lighting/heating loads.
Tannery,default,Bovine leather tannery (beamhouse to finishing),TRUE,process_float_heating,Hot water/steam for process floats,FALSE,hot water boilers; float heating for soaking/liming/tanning/retanning/dyeing,"[MDPITAN2023] Study states natural gas is mainly used to produce hot water, steam and hot air needed for most tannery processes (beamhouse, tanyard, post-tanning, finishing)."
Tannery,default,Bovine leather tannery (beamhouse to finishing),TRUE,leather_drying,Leather drying,FALSE,vacuum dryers; drying tunnels; toggle dryers,[TANBREF2013] BREF s4.12 treats drying techniques as the key thermal-energy consumer/saving area (Table 4.26 on drying-method energy referenced).
